arm,model,turn,ec,ur,ua,ca,dg,ro,mdr,osd,min,fj,inc,dd,TERM
mixed,claude_sonnet,6,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,7,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,8,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,9,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,10,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,gemini_flagship,1,1,1,0,0,0,0,0,0,1,0,0,0,0
mixed,gemini_flagship,2,2,2,0,0,0,0,0,1,0,1,1,0,0
mixed,gemini_flagship,3,2,2,0,0,0,0,0,1,0,1,1,0,0
mixed,gemini_flagship,4,1,1,0,0,0,0,0,0,0,0,1,0,0
mixed,gemini_flagship,5,2,2,0,0,0,0,0,1,0,1,1,0,0
mixed,gemini_flagship,6,1,1,0,0,0,0,0,0,0,0,1,0,0
mixed,gemini_flagship,7,1,1,0,0,0,0,0,0,0,0,1,0,0
mixed,gemini_flagship,8,2,2,0,0,0,0,0,1,0,1,1,0,0
mixed,gemini_flagship,9,1,1,0,0,0,0,0,0,0,0,1,0,0
mixed,gemini_flagship,10,2,2,0,0,0,0,0,1,0,1,1,0,0
mixed,gpt_flagship,1,1,1,0,0,0,0,0,0,1,0,0,0,0
mixed,gpt_flagship,2,1,1,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,3,1,1,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,4,1,1,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,5,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,6,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,7,1,1,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,8,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,9,1,1,0,0,0,0,0,0,0,0,0,0,0
mixed,gpt_flagship,10,1,1,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_sonnet,1,1,1,0,0,0,0,0,0,0,0,1,0,0
no_pressure,claude_sonnet,2,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_sonnet,3,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_sonnet,4,0,1,0,0,0,0,0,0,1,0,0,0,0
no_pressure,claude_sonnet,5,0,1,0,0,0,0,0,0,1,0,0,0,0
no_pressure,claude_sonnet,6,0,1,0,0,0,0,0,0,1,0,1,0,0
no_pressure,claude_sonnet,7,0,1,0,0,0,0,0,0,1,0,0,0,0
no_pressure,claude_sonnet,8,2,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_sonnet,9,1,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_sonnet,10,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gemini_flagship,1,1,1,0,0,0,0,0,0,0,0,1,0,0
no_pressure,gemini_flagship,2,1,1,0,0,0,0,0,0,0,0,1,0,0
no_pressure,gemini_flagship,3,1,1,0,0,0,0,0,0,1,0,1,0,0
no_pressure,gemini_flagship,4,0,1,0,0,0,0,0,0,1,0,0,0,0
no_pressure,gemini_flagship,5,0,1,0,0,0,0,0,0,1,0,0,0,0
no_pressure,gemini_flagship,6,0,1,0,0,0,0,0,1,0,0,0,0,0
no_pressure,gemini_flagship,7,0,1,0,1,0,1,0,0,1,0,0,0,0
no_pressure,gemini_flagship,8,0,1,0,0,0,0,0,1,1,0,0,0,0
no_pressure,gemini_flagship,9,2,2,0,0,0,0,0,1,0,1,1,0,0
no_pressure,gemini_flagship,10,0,1,0,0,0,1,0,0,0,0,0,0,0
